SNO,SNAME,MNAME,SCORE
20260001,정수빈,전자공학과,1.12
20260002,김민준,화학과,3.65
20260003,임서연,기계공학과,1.79
20260004,최지원,컴퓨터공학과,0.37
20260005,이지우,기계공학과,4.27
20260006,정수빈,심리학과,0.35
20260007,장민준,컴퓨터공학과,2.51
20260008,강윤서,심리학과,1.34
20260009,이수빈,생명과학과,3.13
20260010,이하은,영문학과,3.48
20260011,조서연,경영학과,4.43
20260012,조하은,심리학과,0.89
20260013,정현우,생명과학과,0.49
20260014,임지우,경영학과,2.17
20260015,정민준,경영학과,0.56
20260016,박현우,경영학과,1.39
20260017,정하은,영문학과,1.2
20260018,이하은,심리학과,3.8
20260019,최현우,영문학과,0.23
20260020,강지우,컴퓨터공학과,2.26
20260021,정현우,전자공학과,1.27
20260022,장지우,물리학과,1.66
20260023,정민준,영문학과,4.36
20260024,임수빈,전자공학과,2.61
20260025,조지우,전자공학과,2.87
20260026,임지우,컴퓨터공학과,3.17
20260027,김현우,물리학과,0.26
20260028,이예준,영문학과,3.43
20260029,임하은,수학과,1.24
20260030,이수빈,물리학과,0.93
20260031,김윤서,전자공학과,3.31
20260032,장지원,심리학과,3.06
20260033,최지원,컴퓨터공학과,1.46
20260034,임예준,화학과,3.88
20260035,임도윤,전자공학과,4.04
20260036,조지우,전자공학과,2.25
20260037,윤지우,영문학과,3.63
20260038,최수빈,심리학과,0.68
20260039,강현우,컴퓨터공학과,0.59
20260040,김지원,컴퓨터공학과,3.79
20260041,정예준,화학과,1.28
20260042,임예준,수학과,3.73
20260043,김지우,컴퓨터공학과,3.66
20260044,장민준,심리학과,0.29
20260045,이수빈,컴퓨터공학과,0.48
20260046,조하은,컴퓨터공학과,0.87
20260047,김하은,경영학과,0.9
20260048,최지우,수학과,1.25
20260049,임수빈,물리학과,1.14
20260050,정민준,기계공학과,3.67
20260051,최민준,화학과,2.13
20260052,정도윤,생명과학과,2.9
20260053,윤민준,전자공학과,2.64
20260054,박지우,화학과,0.39
20260055,강도윤,심리학과,1.8
20260056,최수빈,수학과,3.16
20260057,김지우,물리학과,3.99
20260058,조현우,물리학과,3.61
20260059,장도윤,전자공학과,2.49
20260060,이하은,기계공학과,0.89
20260061,장수빈,수학과,0.74
20260062,강윤서,전자공학과,0.42
20260063,정민준,컴퓨터공학과,1.17
20260064,강하은,경영학과,3.02
20260065,임현우,영문학과,0.63
20260066,박예준,전자공학과,3.27
20260067,조서연,전자공학과,2.33
20260068,강서연,기계공학과,2.47
20260069,이예준,영문학과,0.95
20260070,정현우,화학과,3.12
20260071,정민준,물리학과,3.58
20260072,최현우,경영학과,2.17
20260073,조예준,경영학과,0.06
20260074,이현우,화학과,1.91
20260075,박윤서,심리학과,4.28
20260076,김도윤,영문학과,2.21
20260077,이도윤,전자공학과,0.47
20260078,강예준,기계공학과,1.9
20260079,김서연,생명과학과,4.03
20260080,최수빈,화학과,1.41
20260081,강도윤,기계공학과,0.39
20260082,정서연,심리학과,2.28
20260083,최윤서,기계공학과,1.22
20260084,정예준,기계공학과,3.43
20260085,장도윤,수학과,1.91
20260086,최서연,심리학과,1.72
20260087,김현우,전자공학과,4.18
20260088,정서연,수학과,4.13
20260089,이현우,영문학과,3.8
20260090,강민준,수학과,3.94
20260091,조서연,수학과,2.75
20260092,이서연,화학과,1.54
20260093,이수빈,컴퓨터공학과,3.49
20260094,박예준,컴퓨터공학과,1.93
20260095,임지우,심리학과,1.59
20260096,김서연,영문학과,1.87
20260097,윤하은,생명과학과,3.24
20260098,김하은,영문학과,3.02
20260099,박현우,물리학과,2.05
20260100,정수빈,영문학과,0.19
